Anthem Lights,I (Heart) Boy Bands
Versace On The Floor,1
YOUTH,1
Starving,1
ILYSB - STRIPPED,1
Nobody`s Better (feat!PRD Fetty Wap),1
Cold Water (feat!PRD Justin Bieber & MÃ˜),1
Closer,1
Your Body Is a Wonderland,1
Home To Mama,1
Collide,1
Sex,1
All I Ever Need,1
Sila - Acoustic,1
All We Know (Acoustic),1
Say You Won`t Let Go,1
Sunshine & City Lights,1
VIRAL,1
Last Text,1
Everything Has Changed,1
Rock Bottom,1
Shape of You,1
Bad Things (with Camila Cabello),1
The One,1
Bow Chicka Wow Wow,1
Please Don`t Go,1
Something Just Like This,1
Fresh Eyes,1
Call On Me - Ryan Riback Extended Remix,1
Rockabye (feat!PRD Sean Paul & Anne-Marie),1
All We Know,1
Sit Still!CMA Look Pretty,1
The Other,1
Paris,1
Jumpshot,1
All Night,1
I Took A Pill In Ibiza - Seeb Remix,1
Treat You Better,1
We Don`t Talk Anymore (feat!PRD Selena Gomez),1
7 Years,1
Love Yourself,1
Roses,1
In the Name of Love,1
Don`t Let Me Down,1
One Call Away,1
Black Beatles,1
I`m the One,1
Sidekick,1
Bikini Body,1
Nakakamiss,1
Crush,1
